data,data_prev,codigo,valor,atencao,alerta,inundacao,unidade,qualityVerified,cod,dt,cota
2024-12-22 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,603.8584594726562,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-22,201.0
2024-12-23 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,636.313232421875,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-23,206.0
2024-12-24 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,735.6077880859375,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-24,222.0
2024-12-25 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,936.1229858398438,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-25,252.0
2024-12-26 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,1143.253662109375,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-26,277.0
2024-12-27 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,1237.321533203125,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-27,287.0
2024-12-28 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,1213.617919921875,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-28,284.0
2024-12-21 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,774.295166015625,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-21,205.0
2024-12-22 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,770.2391357421875,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-22,204.0
2024-12-23 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,785.8308715820312,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-23,206.0
2024-12-24 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,865.7200317382812,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-24,220.0
2024-12-25 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,1035.9490966796875,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-25,246.0
2024-12-26 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,1265.025390625,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-26,279.0
2024-12-27 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,1422.41259765625,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-27,301.0
2024-12-28 00:00:00+00:00,2024-12-21 14:28:55.662294+00:00,hybas_6120686970,1417.034912109375,2525.9814453125,3357.72119140625,4341.2705078125,CUBIC_METERS_PER_SECOND,False,56920000,2024-12-28,300.0
2024-12-21 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,976.592529296875,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-21,249.0
2024-12-22 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,1015.1629638671875,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-22,254.0
2024-12-23 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,1028.4246826171875,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-23,256.0
2024-12-24 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,1104.3106689453125,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-24,267.0
2024-12-25 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,1276.998291015625,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-25,291.0
2024-12-26 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,1607.9964599609375,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-26,333.0
2024-12-27 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,1800.3880615234375,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-27,357.0
2024-12-28 00:00:00+00:00,2024-12-21 14:26:33.035657+00:00,hybas_6120697910,1815.3587646484375,3227.0,4347.4013671875,5700.435546875,CUBIC_METERS_PER_SECOND,False,56994500,2024-12-28,359.0
